Name,Radius (km),Planet
Adrastea,16,Jupiter
Aegaeon,0.66,Saturn
Aegir,6,Saturn
Aitne,3,Jupiter
Albiorix,26,Saturn
Amalthea,167,Jupiter
Ananke,20,Jupiter
Anthe,1,Saturn
Aoede,8,Jupiter
Arche,3,Jupiter
Ariel,1158,Uranus
Atlas,30.2,Saturn
Autonoe,4,Jupiter
Bebhionn,6,Saturn
Belinda,90,Uranus
Bergelmir,6,Saturn
Bestla,6,Saturn
Bianca,50,Uranus
Caliban,70,Uranus
Callirrhoe,8.6,Jupiter
Callisto,4820.6,Jupiter
Calypso,19,Saturn
Carme,30,Jupiter
Carpo,6,Jupiter
Chaldene,3.8,Jupiter
Charon,1212,Pluto
Cordelia,40,Uranus
Cressida,80,Uranus
Cupid,18,Uranus
Cyllene,4,Jupiter
(243) Ida I Dactyl,1.4,243 Ida
Daphnis,7.7,Saturn
Deimos,12,Mars
Desdemona,70,Uranus
Despina,150,Neptune
Dimorphos,0.2,65803 Didymos (1996 GT)
Dione,1123,Saturn
(136199) Eris I Dysnomia,684,136199 Eris (2003 UB313)
Elara,80,Jupiter
Enceladus,504.2,Saturn
Epimetheus,117,Saturn
Erinome,3.2,Jupiter
Erriapus,8,Saturn
Euanthe,3,Jupiter
Eukelade,8,Jupiter
Euporie,2,Jupiter
Europa,3121.6,Jupiter
Eurydome,3,Jupiter
Farbauti,6,Saturn
Fenrir,4,Saturn
Ferdinand,20,Uranus
Fornjot,6,Saturn
Francisco,22,Uranus
Galatea,160,Neptune
Ganymede,5262.4,Jupiter
Greip,6,Saturn
Halimede,60,Neptune
Harpalyke,4.4,Jupiter
Hati,6,Saturn
Hegemone,6,Jupiter
Helene,36,Saturn
Helike,8,Jupiter
Hermippe,4,Jupiter
Herse,4,Jupiter
Himalia,170,Jupiter
Hydra,47.5,Pluto
Hyperion,270,Saturn
Hyrrokkin,8,Saturn
Iapetus,1469,Saturn
Ijiraq,12,Saturn
Io,3642.98,Jupiter
Iocaste,5.2,Jupiter
Isonoe,3.8,Jupiter
Janus,178,Saturn
Jarnsaxa,6,Saturn
Juliet,110,Uranus
Kale,2,Jupiter
Kallichore,4,Jupiter
Kalyke,5.2,Jupiter
Kari,6,Saturn
Kiviuq,16,Saturn
Kore,4,Jupiter
Laomedeia,40,Neptune
Larissa,190,Neptune
Leda,10,Jupiter
Loge,6,Saturn
Lysithea,24,Jupiter
Mab,24,Uranus
Margaret,20,Uranus
Megaclite,5.4,Jupiter
Methone,2.9,Saturn
Metis,43,Jupiter
Mimas,396.4,Saturn
Miranda,471.6,Uranus
Mneme,4,Jupiter
Moon,3474.8,Earth
Mundilfari,6,Saturn
Naiad,58,Neptune
Narvi,6,Saturn
Nereid,340,Neptune
Neso,60,Neptune
Nix,39,Pluto
Oberon,1523,Uranus
Ophelia,40,Uranus
Orthosie,2,Jupiter
Paaliaq,22,Saturn
Pallene,4.46,Saturn
Pan,28,Saturn
Pandora,81.2,Saturn
Pasiphae,36,Jupiter
Pasithee,2,Jupiter
Perdita,26,Uranus
Phobos,22.16,Mars
Phoebe,213,Saturn
Polydeuces,2.6,Saturn
Portia,140,Uranus
Praxidike,6.8,Jupiter
Prometheus,86.2,Saturn
Prospero,50,Uranus
Proteus,416,Neptune
Psamathe,40,Neptune
Puck,160,Uranus
Rhea,1527,Saturn
Rosalind,70,Uranus
Dia,4,Jupiter
S/2003 J10,4,Jupiter
S/2003 J12,2,Jupiter
Philophrosyne,4,Jupiter
S/2003 J16,4,Jupiter
S/2003 J18,4,Jupiter
S/2003 J19,4,Jupiter
S/2003 J2,4,Jupiter
S/2003 J23,4,Jupiter
S/2003 J24,3,Jupiter
Eupheme,4,Jupiter
S/2003 J4,4,Jupiter
Eirene,8,Jupiter
S/2003 J9,2,Jupiter
Hippocamp,20,Neptune
S/2004 S12,6,Saturn
S/2004 S13,6,Saturn
S/2004 S17,4,Saturn
Gridr,8,Saturn
S/2004 S 21,6,Saturn
Angrboda,6,Saturn
Skrymir,8,Saturn
S/2004 S 24,6,Saturn
Gerd,6,Saturn
S/2004 S 26,8,Saturn
Eggther,8,Saturn
S/2004 S 28,8,Saturn
S/2004 S 29,8,Saturn
Beli,6,Saturn
S/2004 S 31,8,Saturn
Gunnlod,8,Saturn
Thiazzi,8,Saturn
S/2004 S 34,6,Saturn
Alvaldi,8,Saturn
S/2004 S 36,6,Saturn
S/2004 S 37,8,Saturn
Geirrod,8,Saturn
S/2004 S 39,4,Saturn
S/2004 S 40,4,Saturn
S/2004 S 41,4,Saturn
S/2004 S 42,4,Saturn
S/2004 S 43,4,Saturn
S/2004 S 44,4,Saturn
S/2004 S 45,4,Saturn
S/2004 S 46,4,Saturn
S/2004 S 47,4,Saturn
S/2004 S 48,4,Saturn
S/2004 S 49,4,Saturn
S/2004 S 50,4,Saturn
S/2004 S 51,4,Saturn
S/2004 S 52,3,Saturn
S/2004 S 53,4,Saturn
S/2004 S7,6,Saturn
S/2005 S 4,5,Saturn
S/2005 S 5,4,Saturn
S/2006 S1,6,Saturn
S/2006 S 10,4,Saturn
S/2006 S 11,3,Saturn
S/2006 S 12,4,Saturn
S/2006 S 13,4,Saturn
S/2006 S 14,3,Saturn
S/2006 S 15,4,Saturn
S/2006 S 16,3,Saturn
S/2006 S 17,4,Saturn
S/2006 S 18,4,Saturn
S/2006 S 19,4,Saturn
S/2006 S3,6,Saturn
S/2006 S 9,3,Saturn
S/2007 S2,6,Saturn
S/2007 S3,6,Saturn
S/2007 S 5,4,Saturn
S/2007 S 6,4,Saturn
S/2007 S 7,4,Saturn
S/2007 S 8,4,Saturn
S/2007 S 9,4,Saturn
S/2009 S1,0.6,Saturn
S/2010 J1,4,Jupiter
S/2010 J2,4,Jupiter
S/2011 J1,4,Jupiter
S/2011 J2,4,Jupiter
S/2011 J3,3,Jupiter
Kerberos,27,Pluto
Styx,17,Pluto
S/2016 J1,2,Jupiter
S/2016 J3,2,Jupiter
S/2016 J4,1,Jupiter
S/2017 J1,4,Jupiter
S/2017 J2,4,Jupiter
S/2017 J3,4,Jupiter
Pandia,6,Jupiter
S/2017 J5,4,Jupiter
S/2017 J6,4,Jupiter
S/2017 J7,4,Jupiter
S/2017 J8,2,Jupiter
S/2017 J9,6,Jupiter
Ersa,6,Jupiter
S/2018 J2,3,Jupiter
S/2018 J3,1,Jupiter
S/2018 J4,2,Jupiter
S/2019 S 1,5,Saturn
S/2019 S 10,3,Saturn
S/2019 S 11,4,Saturn
S/2019 S 12,4,Saturn
S/2019 S 13,3,Saturn
S/2019 S 14,4,Saturn
S/2019 S 15,3,Saturn
S/2019 S 16,3,Saturn
S/2019 S 17,4,Saturn
S/2019 S 18,3,Saturn
S/2019 S 19,3,Saturn
S/2019 S 2,3,Saturn
S/2019 S 20,3,Saturn
S/2019 S 21,4,Saturn
S/2019 S 3,4,Saturn
S/2019 S 4,3,Saturn
S/2019 S 5,3,Saturn
S/2019 S 6,4,Saturn
S/2019 S 7,4,Saturn
S/2019 S 8,4,Saturn
S/2019 S 9,4,Saturn
S/2020 S 1,4,Saturn
S/2020 S 10,3,Saturn
S/2020 S 2,3,Saturn
S/2020 S 3,4,Saturn
S/2020 S 4,3,Saturn
S/2020 S 5,3,Saturn
S/2020 S 6,3,Saturn
S/2020 S 7,3,Saturn
S/2020 S 8,4,Saturn
S/2020 S 9,4,Saturn
S/2021 J1,1,Jupiter
S/2021 J2,1,Jupiter
S/2021 J3,2,Jupiter
S/2021 J4,1,Jupiter
S/2021 J5,2,Jupiter
S/2021 J6,1,Jupiter
Sao,40,Neptune
Setebos,50,Uranus
Siarnaq,30,Saturn
Sinope,28,Jupiter
Skathi,6,Saturn
Skoll,6,Saturn
Sponde,2,Jupiter
Stephano,30,Uranus
Surtur,6,Saturn
Suttungr,6,Saturn
Sycorax,150,Uranus
Tarqeq,6,Saturn
Tarvos,15,Saturn
Taygete,5,Jupiter
Telesto,24.8,Saturn
Tethys,1062,Saturn
Thalassa,80,Neptune
Thebe,98.6,Jupiter
Thelxinoe,4,Jupiter
Themisto,8,Jupiter
Thrymr,6,Saturn
Thyone,4,Jupiter
Titan,5150,Saturn
Titania,1578,Uranus
Trinculo,18,Uranus
Triton,2705.2,Neptune
Umbriel,1169,Uranus
Valetudo,2,Jupiter
Ymir,18,Saturn
